hex_id,D1,D2,D3,D4,D5,D6
375,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
376,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
377,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
378,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
379,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
380,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
381,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
382,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
383,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
384,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
385,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
386,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
387,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
388,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
389,Sa,Sa,Sa,LoSa,LoSa,LoSa
390,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
391,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
392,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
393,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
394,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
395,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
396,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
397,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
398,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
399,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
400,Sa,Sa,Sa,LoSa,LoSa,LoSa
401,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
402,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
403,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
404,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
405,SaLo,SaLo,SaClLo,SaClLo,SaClLo,SaClLo
406,SaLo,SaLo,SaLo,SaLo,SaLo,SaLo
